row,trainAUC,testAUC,spec,sen,best,n.trees,interaction.depth,shrinkage,n.minobsinnode,seed,id,id2
1,0.9120156930103643,0.9120156930103643,0.8650088809946714,0.7648351648351648,9923,10000,2,0.001,4,1,10000 2 0.001 4,1
2,0.9076981632931899,0.9076981632931899,0.8614564831261101,0.756043956043956,902,10000,2,0.01,4,1,10000 2 0.01 4,2
3,0.8824605234907189,0.8824605234907189,0.8543516873889876,0.7230769230769231,10000,10000,2,5e-4,4,1,10000 2 5e-04 4,3
4,0.9297152226104268,0.9297152226104268,0.8827708703374778,0.7802197802197802,8252,10000,3,0.001,4,1,10000 3 0.001 4,4
5,0.9268967267191068,0.9268967267191068,0.8792184724689165,0.778021978021978,772,10000,3,0.01,4,1,10000 3 0.01 4,5
6,0.9047742665859896,0.9047742665859896,0.8703374777975134,0.7494505494505495,10000,10000,3,5e-4,4,1,10000 3 5e-04 4,6
7,0.9383580895126189,0.9383580895126189,0.8863232682060391,0.7956043956043956,6724,10000,4,0.001,4,1,10000 4 0.001 4,7
8,0.935902640875998,0.935902640875998,0.8880994671403197,0.7868131868131868,635,10000,4,0.01,4,1,10000 4 0.01 4,8
9,0.9225948119376184,0.9225948119376184,0.8809946714031972,0.7670329670329671,10000,10000,4,5e-4,4,1,10000 4 5e-04 4,9
10,0.9176409735912401,0.9176409735912401,0.8685612788632326,0.7648351648351648,11143,15000,2,0.001,4,1,15000 2 0.001 4,10
11,0.9062108406691,0.9062108406691,0.8632326820603907,0.7516483516483516,902,15000,2,0.01,4,1,15000 2 0.01 4,11
12,0.898684441668456,0.898684441668456,0.8614564831261101,0.7472527472527473,14985,15000,2,5e-4,4,1,15000 2 5e-04 4,12
13,0.9297620674174848,0.9297620674174848,0.8809946714031972,0.7824175824175824,8252,15000,3,0.001,4,1,15000 3 0.001 4,13
14,0.9251712763258058,0.9251712763258058,0.8792184724689165,0.7802197802197802,772,15000,3,0.01,4,1,15000 3 0.01 4,14
15,0.9230749712099622,0.9230749712099622,0.8774422735346359,0.7736263736263737,14571,15000,3,5e-4,4,1,15000 3 5e-04 4,15
16,0.9379989459918412,0.9379989459918412,0.8845470692717584,0.7934065934065934,6724,15000,4,0.001,4,1,15000 4 0.001 4,16
17,0.934887670056409,0.934887670056409,0.8898756660746003,0.7934065934065934,635,15000,4,0.01,4,1,15000 4 0.01 4,17
18,0.9381043468077217,0.9381043468077217,0.8863232682060391,0.7956043956043956,13484,15000,4,5e-4,4,1,15000 4 5e-04 4,18
19,0.882444908555033,0.882444908555033,0.8543516873889876,0.7186813186813187,4990,5000,2,0.001,4,1,5000 2 0.001 4,19
20,0.9070501434622217,0.9070501434622217,0.8632326820603907,0.756043956043956,902,5000,2,0.01,4,1,5000 2 0.01 4,20
21,0.8622333261764878,0.8622333261764878,0.8525754884547069,0.6791208791208792,5000,5000,2,5e-4,4,1,5000 2 5e-04 4,21
22,0.904700095641481,0.904700095641481,0.872113676731794,0.7450549450549451,4991,5000,3,0.001,4,1,5000 3 0.001 4,22
23,0.9251634688579626,0.9251634688579626,0.8792184724689165,0.778021978021978,772,5000,3,0.01,4,1,5000 3 0.01 4,23
24,0.8791930981984267,0.8791930981984267,0.8650088809946714,0.701098901098901,5000,5000,3,5e-4,4,1,5000 3 5e-04 4,24
25,0.9225284484609528,0.9225284484609528,0.8774422735346359,0.7692307692307693,4990,5000,4,0.001,4,1,5000 4 0.001 4,25
26,0.9333613100931041,0.9333613100931041,0.8827708703374778,0.7956043956043956,635,5000,4,0.01,4,1,5000 4 0.01 4,26
27,0.8936603361114906,0.8936603361114906,0.866785079928952,0.7164835164835165,5000,5000,4,5e-4,4,1,5000 4 5e-04 4,27
